Item,Description,Quantity On Hand,Quantity On Purchase Order,Price,Width,Height,Depth,Cub. ft,Weight
Cabinets(Newport):PEPR335-Newport,PEPR335-Newport,324.00 ,81.00 ,139.00 ,26.19,2.17,36.03,1.19,12.8
Cabinets(Newport):PREPRP1.596-Newport,PREPRP1.596-Newport,202.00 ,95.00 ,259.00 ,26.19,2.17,97.45,3.2,30.8
Cabinets(Newport):REED96-Newport,REED96-Newport,11.00 ,0.00 ,109.00 ,0.58,0.46,9.75,0.15,1.700
Cabinets(Newport):SB24-Newport,SB24-Newport,41.00 ,28.00 ,279.00 ,25.2,5.71,36.03,3,44.4
Cabinets(Newport):SB27-Newport,SB27-Newport,60.00 ,27.00 ,289.00 ,28.35,5.71,36.03,3.38,46.9
Cabinets(Newport):SB30-Newport,SB30-Newport,116.00 ,85.00 ,319.00 ,31.5,5.71,36.03,3.75,50.6
Cabinets(Newport):SB33-Newport,SB33-Newport,59.00 ,30.00 ,339.00 ,33.08,5.71,36.03,3.94,52.8
Cabinets(Newport):SB36-Newport,SB36-Newport,95.00 ,85.00 ,359.00 ,33.08,5.71,37.6,4.11,57.2
Cabinets(Newport):SB42-Newport,SB42-Newport,34.00 ,0.00 ,379.00 ,33.08,5.71,43.51,4.76,60.900
Cabinets(Newport):SB48-Newport,SB48-Newport,8.00 ,1.00 ,429.00 ,33.08,5.71,49.41,5.4,70.600
Cabinets(Newport):SC2430-Newport,SC2430-Newport,7.00 ,11.00 ,219.00 ,25.2,5.32,31.7,2.46,37
Cabinets(Newport):SC2436-Newport,SC2436-Newport,10.00 ,5.00 ,279.00 ,25.2,5.32,37.6,2.92,41.4
Cabinets(Newport):SC2442-Newport,SC2442-Newport,14.00 ,0.00 ,329.00 ,25.2,5.32,43.51,3.38,45.900
Cabinets(Newport):SC3030-Newport,SC3030-Newport,12.00 ,13.00 ,249.00 ,31.5,5.32,31.7,3.08,42.400
Cabinets(Newport):SC3036-Newport,SC3036-Newport,14.00 ,3.00 ,309.00 ,31.5,5.32,37.6,3.65,47.400
Cabinets(Newport):SC3042-Newport,SC3042-Newport,5.00 ,6.00 ,349.00 ,31.5,5.32,43.51,4.22,55.200
Cabinets(Newport):SCB36-Newport,SCB36-Newport ***DOOR ON THE,30.00 ,47.00 ,359.00 ,33.08,5.71,37.6,4.11,67.8
Cabinets(Newport):SCB42-Newport,SCB42-Newport***DOOR ON THE,22.00 ,45.00 ,379.00 ,33.08,5.71,43.51,4.76,74.8
Cabinets(Newport):SCER33-Newport,SCER33-Newport,55.00 ,65.00 ,629.00 ,33.08,10.04,36.03,6.93,90.6
Cabinets(Newport):SCER36-Newport,SCER36-Newport,142.00 ,82.00 ,689.00 ,36.23,10.04,36.42,7.67,99
Cabinets(Newport):SFC36-Newport,SFC36-Newport,58.00 ,25.00 ,229.00 ,37.6,2.96,37.8,2.43,34.100
Cabinets(Newport):SFC42-Newport,SFC42-Newport,5.00 ,5.00 ,309.00 ,43.51,2.96,43.71,3.25,44.000
Cabinets(Newport):SPTRINGEND-Newport,SPTRINGEND-Newport,84.00 ,0.00 ,79.00 ,0.63,0.56,1.11,0.03,44.000
Cabinets(Newport):TOEKICK-Newport,TOEKICK-Newport,719.00 ,254.00 ,39.00 ,0.6,0.3,9.75,0.1,4.000
Cabinets(Newport):TOUCHUPKIT-Newport,NTOUCHUPKIT-Newport Touch up kit,29.00 ,0.00 ,58.00 ,2,0.012,5,2,0.5
Cabinets(Newport):TP3-Newport,TP3-Newport,39.00 ,0.00 ,209.00 ,4.14,35.63,4.34,0.37,3.900
Cabinets(Newport):U1584-Newport,U1584-Newport,16.00 ,0.00 ,699.00 ,25.2,5.71,85.63,7.13,98.000
Cabinets(Newport):U1590-Newport,U1590-Newport,31.00 ,0.00 ,749.00 ,25.2,5.71,91.54,7.62,112.700
Cabinets(Newport):U1596-Newport,U1596-Newport,6.00 ,20.00 ,829.00 ,25.2,5.71,97.45,8.12,107.8
Cabinets(Newport):U1884-Newport,U1884-Newport,36.00 ,10.00 ,759.00 ,25.2,5.71,85.63,7.13,105.6
Cabinets(Newport):U1890-Newport,U1890-Newport,17.00 ,6.00 ,789.00 ,25.2,5.71,91.54,7.62,111.3
Cabinets(Newport):U1896-Newport,U1896-Newport,13.00 ,0.00 ,859.00 ,25.2,5.71,97.45,8.12,115.000
Cabinets(Newport):U2484-Newport,U2484-Newport,0.00 ,10.00 ,929.00 ,25.2,6.5,85.63,8.12,128.9
Cabinets(Newport):U2490-Newport,U2490-Newport,0.00 ,10.00 ,999.00 ,25.2,6.5,91.54,8.68,133.3
Cabinets(Newport):U2496-Newport,U2496-Newport,0.00 ,10.00 ,"1,049.00 ",25.2,6.5,97.45,9.23,139.9
Cabinets(Newport):V549SC-Newport,V549SC-Newport,31.00 ,10.00 ,99.00 ,0.91,0.63,5.06,0.17,36.5
Cabinets(Newport):V549ST-Newport,V549ST-Newport,29.00 ,5.00 ,99.00 ,0.91,0.63,5.06,0.17,23.3
Cabinets(Newport):VDB122130-Newport,VDB122130-Newport,66.00 ,19.00 ,309.00 ,32.7,7.5,22.6,3.208,53.2
Cabinets(Newport):VDB1221345-Newport,VDB1221345-Newport,19.00 ,0.00 ,339.00 ,22.45,6.7,36.03,3.14,52.5
Cabinets(Newport):VSB242130-Newport,VSB242130-Newport,71.00 ,54.00 ,259.00 ,37.4,5.5,25.2,3,41.8
Cabinets(Newport):VSB2421345-Newport,VSB2421345-Newport,20.00 ,0.00 ,299.00 ,25.2,5.71,36.03,3,41.7
Cabinets(Newport):VSB302130-Newport,VSB302130-Newport,85.00 ,64.00 ,299.00 ,37,5.5,31.9,3.757,46.6
Cabinets(Newport):VSB3021345-Newport,VSB3021345-Newport,28.00 ,0.00 ,339.00 ,31.5,5.71,36.03,3.75,47.9
Cabinets(Newport):VSB362130-Newport,VSB362130-Newport,41.00 ,29.00 ,349.00 ,38.2,5.5,32.7,3.976,55
Cabinets(Newport):VSB3621345-Newport,VSB3621345-Newport,18.00 ,0.00 ,399.00 ,33.08,5.71,37.6,4.11,54.7
Cabinets(Newport):VSB422130-Newport,VSB422130-Newport,14.00 ,2.00 ,439.00 ,45.3,5.5,33.1,4.772,71.3
Cabinets(Newport):VSB4221345-Newport,VSB4221345-Newport,0.00 ,0.00 ,469.00 ,33.08,5.71,43.51,4.76,74.3
Cabinets(Newport):VSB482130-Newport,VSB482130-Newport,9.00 ,8.00 ,499.00 ,50.4,5.5,32.7,5.246,83.2
Cabinets(Newport):VSB4821345-Newport,VSB4821345-Newport,0.00 ,0.00 ,539.00 ,33.08,5.71,49.41,5.40,84.7
Cabinets(Newport):W0930-Newport,W0930-Newport,39.00 ,45.00 ,139.00 ,13.39,5.32,31.7,1.31,21.1
Cabinets(Newport):W0936-Newport,W0936-Newport,15.00 ,15.00 ,179.00 ,13.39,5.32,37.6,1.55,23.8
Cabinets(Newport):W0942-Newport,W0942-Newport,22.00 ,10.00 ,199.00 ,13.39,5.32,43.51,1.8,29
Cabinets(Newport):W1230-Newport,W1230-Newport,121.00 ,129.00 ,159.00 ,13.39,5.91,31.7,1.45,24.2
Cabinets(Newport):W1236-Newport,W1236-Newport,38.00 ,55.00 ,199.00 ,13.39,5.91,37.6,1.73,27.7
Cabinets(Newport):W1242-Newport,W1242-Newport,75.00 ,0.00 ,229.00 ,13.39,5.91,43.51,2,33
Cabinets(Newport):W1530-Newport,W1530-Newport,106.00 ,80.00 ,169.00 ,16.34,5.32,31.7,1.6,27.7
Cabinets(Newport):W1536-Newport,W1536-Newport,43.00 ,35.00 ,219.00 ,16.34,5.32,37.6,1.89,31.2
Cabinets(Newport):W1542-Newport,W1542-Newport,50.00 ,10.00 ,249.00 ,16.34,5.32,43.51,2.19,37
Cabinets(Newport):W1830-Newport,W1830-Newport,92.00 ,60.00 ,189.00 ,19.3,5.32,31.7,1.89,30.8
Cabinets(Newport):W1836-Newport,W1836-Newport,46.00 ,30.00 ,239.00 ,19.3,5.32,37.6,2.24,35.2
Cabinets(Newport):W1842-Newport,W1842-Newport,61.00 ,10.00 ,269.00 ,19.3,5.32,43.51,2.59,41.8
Cabinets(Newport):W2130-Newport,W2130-Newport,88.00 ,29.00 ,209.00 ,22.45,5.32,31.7,2.19,35.2
Cabinets(Newport):W2136-Newport,W2136-Newport,25.00 ,23.00 ,269.00 ,22.45,5.32,37.6,2.6,38.7
Cabinets(Newport):W2142-Newport,W2142-Newport,46.00 ,0.00 ,299.00 ,22.45,5.32,43.51,3.01,47.3
Cabinets(Newport):W2424-Newport,W2424-Newport,38.00 ,40.00 ,209.00 ,25.2,5.91,25.4,2.19,31.9
Cabinets(Newport):W2430-Newport,W2430-Newport,171.00 ,115.00 ,229.00 ,25.2,5.32,31.7,2.46,39.6
Cabinets(Newport):W2436-Newport,W2436-Newport,42.00 ,70.00 ,279.00 ,25.2,5.32,37.6,2.92,45.1
Cabinets(Newport):W2442-Newport,W2442-Newport,90.00 ,20.00 ,309.00 ,25.2,5.32,43.51,3.38,52.4
Cabinets(Newport):W2730-Newport,W2730-Newport,63.00 ,85.00 ,249.00 ,28.35,5.32,31.7,2.77,44
Cabinets(Newport):W2736-Newport,W2736-Newport,0.00 ,65.00 ,299.00 ,28.35,5.32,37.6,3.28,48.4
Cabinets(Newport):W2742-Newport,W2742-Newport,41.00 ,10.00 ,339.00 ,28.35,5.32,43.51,3.8,56.3
Cabinets(Newport):W3012-Newport,W3012-Newport,144.00 ,91.00 ,159.00 ,13.39,5.91,31.7,1.45,22
Cabinets(Newport):W3015-Newport,W3015-Newport,118.00 ,65.00 ,179.00 ,16.34,5.32,31.7,1.6,24.2
Cabinets(Newport):W3018-Newport,W3018-Newport,110.00 ,70.00 ,189.00 ,19.3,5.32,31.7,1.89,26.8
Cabinets(Newport):W3024-Newport,W3024-Newport,99.00 ,72.00 ,219.00 ,25.2,5.32,31.7,2.46,36.3
Cabinets(Newport):W3030-Newport,W3030-Newport,74.00 ,120.00 ,279.00 ,31.5,5.32,31.7,3.08,46.2
Cabinets(Newport):W3036-Newport,W3036-Newport,32.00 ,50.00 ,329.00 ,31.5,5.32,37.6,3.65,52.8
Cabinets(Newport):W3042-Newport,W3042-Newport,38.00 ,15.00 ,359.00 ,31.5,5.32,43.51,4.22,62.9
Cabinets(Newport):W3312-Newport,W3312-Newport,14.00 ,15.00 ,169.00 ,13.39,5.91,34.45,1.58,23.3
Cabinets(Newport):W3315-Newport,W3315-Newport,28.00 ,20.00 ,189.00 ,16.34,5.32,34.45,1.74,26.4
Cabinets(Newport):W3318-Newport,W3318-Newport,9.00 ,20.00 ,209.00 ,19.3,5.32,34.45,2.05,28.6
Cabinets(Newport):W3324-Newport,W3324-Newport,28.00 ,20.00 ,239.00 ,25.2,5.32,34.45,2.67,37.6
Cabinets(Newport):W3330-Newport,W3330-Newport,42.00 ,30.00 ,299.00 ,31.5,5.32,34.45,3.34,49.7
Cabinets(Newport):W3336-Newport,W3336-Newport,20.00 ,16.00 ,349.00 ,34.26,5.32,37.6,3.97,57.2
Cabinets(Newport):W3342-Newport,W3342-Newport,29.00 ,22.00 ,379.00 ,34.26,4.93,43.51,4.25,66
Cabinets(Newport):W3612-Newport,W3612-Newport,68.00 ,16.00 ,189.00 ,13.39,5.91,37.6,1.73,27.5
Cabinets(Newport):W3615-Newport,W3615-Newport,73.00 ,1.00 ,209.00 ,16.34,5.32,37.6,1.89,29.7
Cabinets(Newport):W3618-Newport,W3618-Newport,74.00 ,24.00 ,219.00 ,19.3,5.32,37.6,2.24,31.7
Cabinets(Newport):W3624-Newport,W3624-Newport,66.00 ,37.00 ,259.00 ,25.2,5.32,37.6,2.92,44
Cabinets(Newport):W3630-Newport,W3630-Newport,43.00 ,75.00 ,319.00 ,31.5,4.93,37.6,3.38,54.1
Cabinets(Newport):W3636-Newport,W3636-Newport,23.00 ,31.00 ,369.00 ,37.41,4.93,37.6,4.01,60.3
Cabinets(Newport):W3642-Newport,W3642-Newport,43.00 ,4.00 ,409.00 ,37.41,4.93,43.51,4.64,70.4
Cabinets(Newport):W4230-Newport,W4230-Newport,7.00 ,20.00 ,369.00 ,31.5,4.93,43.51,3.91,60.3
Cabinets(Newport):W4830-Newport,W4830-Newport,22.00 ,8.00 ,399.00 ,31.5,4.93,49.41,4.44,94.6
Cabinets(Newport):WEC1230-Newport,WEC1230-Newport,13.00 ,10.00 ,199.00 ,13.39,13.19,31.7,1.62,0.392
Cabinets(Newport):WEC1236-Newport,WEC1236-Newport,12.00 ,0.00 ,239.00 ,13.39,13.19,37.6,1.93,0.554
Cabinets(Newport):WEC1242-Newport,WEC1242-Newport,18.00 ,0.00 ,259.00 ,13.39,13.19,43.51,2.23,0.741
Cabinets(Newport):WMD1530-Newport,WMD1530-Newport Mullion Door Only,16.00 ,3.00 ,179.00 ,15.95,1.78,30.12,0.50,8.6
Cabinets(Newport):WMD1536-Newport,WMD1536-Newport Mullion Door Only,10.00 ,0.00 ,199.00 ,15.95,1.78,36.03,0.59,10.2
Cabinets(Newport):WMD1542-Newport,WMD1542-Newport Mullion Door Only,8.00 ,5.00 ,229.00 ,15.95,1.78,41.93,0.69,12
Cabinets(Newport):WMD1830-Newport,WMD1830-Newport Mullion Door Only,23.00 ,1.00 ,219.00 ,19.10,1.78,30.12,0.59,10.2
Cabinets(Newport):WMD1836-Newport,WMD1836-Newport Mullion Door Only,15.00 ,0.00 ,239.00 ,19.10,1.78,36.03,0.71,12.4
Cabinets(Newport):WMD1842-Newport,WMD1842-Newport Mullion Door Only,8.00 ,0.00 ,269.00 ,19.10,1.78,41.93,0.83,14.8
Cabinets(Newport):WMD3030-Newport,WMD3030-Newport Mullion Door Only,11.00 ,5.00 ,359.00 ,16.15,2.56,30.12,0.72,16.1
Cabinets(Newport):WMD3036-Newport,WMD3036-Newport Mullion Door Only,5.00 ,15.00 ,399.00 ,16.15,2.56,36.03,0.87,19.7
Cabinets(Newport):WMD3042-Newport,WMD3042-Newport Mullion Door Only,4.00 ,5.00 ,439.00 ,16.15,2.56,41.93,1.01,22.8
Cabinets(Newport):WMD3630-Newport,WMD3630-Newport Mullion Door Only,11.00 ,2.00 ,439.00 ,19.30,2.56,30.12,0.87,19.2
Cabinets(Newport):WMD3636-Newport,WMD3636-Newport Mullion Door Only,12.00 ,0.00 ,479.00 ,19.30,2.56,36.03,1.03,22.8
Cabinets(Newport):WMD3642-Newport,WMD3642-Newport Mullion Door Only,11.00 ,5.00 ,539.00 ,19.30,2.56,41.93,1.20,27.4
Cabinets(Newport):WN630-Newport,WN630-Newport,34.00 ,29.00 ,129.00 ,8.08,31.89,13.59,2.03,11.4
Cabinets(Newport):WN636-Newport,WN636-Newport,17.00 ,9.00 ,139.00 ,8.08,37.8,13.59,2.4,11.9
Cabinets(Newport):WN642-Newport,WN642-Newport,7.00 ,18.00 ,149.00 ,8.08,43.71,13.59,2.78,14.5
Cabinets(Newport):WR3015-Newport,WR3015-Newport,22.00 ,0.00 ,319.00 ,32.09,16.93,14.38,4.52,22.4
Cabinets(Newport):WR3615-Newport,WR3615-Newport,7.00 ,12.00 ,359.00 ,38,16.93,14.38,5.35,29
Cabinets(Richmond),,0.00 ,0.00 ,0.00 ,,,,,
Cabinets(Richmond):B09-Richmond,B09-Richmond Base Pullout Cabinet,62.00 ,60.00 ,269.00 ,11.23,36.42,27.17,6.43,28.959
Cabinets(Richmond):B12-Richmond,B12-Richmond,160.00 ,131.00 ,199.00 ,25.2,5.71,36.03,3,37.4
Cabinets(Richmond):B15-Richmond,B15-Richmond,90.00 ,190.00 ,219.00 ,25.2,5.71,36.03,3,41.8
Cabinets(Richmond):B18-Richmond,B18-Richmond,159.00 ,65.00 ,229.00 ,25.2,5.71,36.03,3,45.1
Cabinets(Richmond):B21-Richmond,B21-Richmond,137.00 ,11.00 ,239.00 ,25.2,5.71,36.03,3,49.5
Cabinets(Richmond):B24-Richmond,B24-Richmond,166.00 ,80.00 ,269.00 ,25.2,5.71,38.78,3.23,52.8
Cabinets(Richmond):B27-Richmond,B27-Richmond,80.00 ,25.00 ,289.00 ,28.35,5.71,38.78,3.64,57.2
Cabinets(Richmond):B30-Richmond,B30-Richmond,191.00 ,30.00 ,319.00 ,31.5,5.71,38.78,4.04,59.4
Cabinets(Richmond):B33-Richmond,B33-Richmond,51.00 ,30.00 ,339.00 ,33.08,5.71,36.03,3.94,61.6
Cabinets(Richmond):B36-Richmond,B36-Richmond,105.00 ,26.00 ,359.00 ,33.08,5.71,37.6,4.11,66
Cabinets(Richmond):B42-Richmond,B42-Richmond,27.00 ,20.00 ,399.00 ,33.08,5.71,43.51,4.76,77
Cabinets(Richmond):B48-Richmond,B48-Richmond,26.00 ,9.00 ,449.00 ,33.08,5.71,49.41,5.4,88
Cabinets(Richmond):BECF24-Richmond,BECF24-Richmond,7.00 ,15.00 ,299.00 ,25.2,6.11,36.03,3.21,46.524
Cabinets(Richmond):BM8-Richmond,BM8-Richmond,65.00 ,0.00 ,209.00 ,1.19,0.79,19.49,0.27,0.000
Cabinets(Richmond):BP4896-Richmond,BP4896-Richmond,192.00 ,8.00 ,239.00 ,49.22,0.91,97.45,2.52,26.4
Cabinets(Richmond):BWNT9-Richmond,BWNT9-Richmond,8.00 ,20.00 ,249.00 ,11.23,31.89,25.6,5.3,28.622
Cabinets(Richmond):DB12-Richmond,DB12-Richmond,49.00 ,17.00 ,279.00 ,25.2,6.89,38.78,3.9,49.5
Cabinets(Richmond):DB15-Richmond,DB15-Richmond,77.00 ,22.00 ,309.00 ,25.2,6.89,38.78,3.9,53.9
Cabinets(Richmond):DB18-Richmond,DB18-Richmond,60.00 ,44.00 ,329.00 ,25.2,6.89,38.78,3.9,56.1
Cabinets(Richmond):DB21-Richmond,DB21-Richmond,16.00 ,5.00 ,339.00 ,25.2,6.89,38.78,3.9,61.6
Cabinets(Richmond):DB24-Richmond,DB24-Richmond,48.00 ,7.00 ,349.00 ,25.2,6.89,38.78,3.9,66
Cabinets(Richmond):DC2430-Richmond,DC2430-Richmond,151.00 ,80.00 ,319.00 ,20.08,8.08,34.45,3.24,46.2
Cabinets(Richmond):DC2436-Richmond,DC2436-Richmond,47.00 ,30.00 ,339.00 ,20.08,8.08,37.6,3.53,51.7
Cabinets(Richmond):DC2442-Richmond,DC2442-Richmond,41.00 ,20.00 ,359.00 ,20.08,8.86,43.51,4.48,49.5
Cabinets(Richmond):DC2736-Richmond,DC2736-Richmond,10.00 ,5.00 ,369.00 ,24.41,8.08,37.6,4.29,60.5
Cabinets(Richmond):DC2742-Richmond,DC2742-Richmond,11.00 ,0.00 ,399.00 ,24.41,8.86,43.51,5.45,57.730
Cabinets(Richmond):DCMD2430-Richmond,DCMD2430-Richmond Mullion Door Only,39.00 ,0.00 ,199.00 ,16.15,1.78,30.12,0.50,8.9
Cabinets(Richmond):DCMD2436-Richmond,DCMD2436-Richmond Mullion Door Only,22.00 ,0.00 ,229.00 ,16.15,1.78,36.03,0.60,10.4
Cabinets(Richmond):DCMD2442-Richmond,DCMD2442-Richmond Mullion Door Only,25.00 ,0.00 ,249.00 ,16.15,1.78,41.93,0.70,11.7
Cabinets(Richmond):DCMD2736-Richmond,DCMD2736-Richmond Mullion Door Only,14.00 ,0.00 ,229.00 ,16.15,1.78,36.03,0.60,10.4
Cabinets(Richmond):DCMD2742-Richmond,DCMD2742-Richmond Mullion Door Only,11.00 ,3.00 ,249.00 ,16.15,1.78,41.93,0.70,11.7
Cabinets(Richmond):F330-Richmond,F330-Richmond,428.00 ,250.00 ,59.00 ,0.91,0.4,3.17,0.07,1.782
Cabinets(Richmond):F342-Richmond,F342-Richmond,338.00 ,0.00 ,79.00 ,0.91,0.4,4.36,0.09,2.486
Cabinets(Richmond):F396-Richmond,F396-Richmond,100.00 ,0.00 ,149.00 ,1.03,0.79,19.49,0.23,5.698
Cabinets(Richmond):F531A45-Richmond,"F531A45-Richmond Angle Filler 30""H Trimmable to 24""H",83.00 ,0.00 ,139.00 ,0.91,0.63,3.17,0.11,2.420
Cabinets(Richmond):F630-Richmond,F630-Richmond,164.00 ,0.00 ,89.00 ,0.91,0.71,3.17,0.12,3.564
Cabinets(Richmond):F642-Richmond,F642-Richmond,61.00 ,50.00 ,99.00 ,0.91,0.71,4.36,0.17,49.5
Cabinets(Richmond):F696-Richmond,F696-Richmond,61.00 ,0.00 ,209.00 ,1.46,0.99,19.49,0.41,11.396
Cabinets(Richmond):FF396-Richmond,"FF396-Richmond Fluted Filler 96""H Trimmable",21.00 ,0.00 ,219.00 ,1.03,0.79,19.49,0.23,5.170
Cabinets(Richmond):FFROS3X3-Richmond,"FFROS3X3-Richmond Rosette 3""x3""",69.00 ,0.00 ,79.00 ,0.42,0.67,0.44,0.01,0.132
Cabinets(Richmond):LRB30-Richmond,LRB30-Richmond,10.00 ,11.00 ,419.00 ,31.5,6.89,38.78,4.87,68.577
Cabinets(Richmond):LRB36-Richmond,LRB36-Richmond,13.00 ,5.00 ,449.00 ,33.08,6.89,37.6,4.96,77.677
Cabinets(Richmond):LRM8-Richmond,LRM8-Richmond,76.00 ,0.00 ,109.00 ,1.03,0.48,19.49,0.14,0.000
Cabinets(Richmond):MCROWN1-Richmond,MCROWN1-Richmond,311.00 ,1.00 ,99.00 ,0.95,0.56,19.49,0.15,1.760
Cabinets(Richmond):MCROWN2-Richmond,MCROWN2-Richmond,288.00 ,15.00 ,109.00 ,0.95,0.79,19.49,0.21,2.860
Cabinets(Richmond):MCROWN3-Richmond,MCROWN3-Richmond,270.00 ,40.00 ,189.00 ,1.15,1.11,19.49,0.36,6.160
Cabinets(Richmond):MCV8-Richmond,MCV8-Richmond,79.00 ,0.00 ,59.00 ,0.52,0.24,9.75,0.07,1.100
Cabinets(Richmond):MOC8-Richmond,MOC8-Richmond,101.00 ,15.00 ,59.00 ,0.32,0.3,9.75,0.06,0.990
Cabinets(Richmond):MSW8-Richmond,MSW8-Richmond,455.00 ,0.00 ,59.00 ,0.18,0.12,4.88,0.03,0.440
Cabinets(Richmond):OC3084-Richmond,OC3084-Richmond  (customer must cut out to install oven),8.00 ,0.00 ,"1,199.00 ",31.5,6.5,85.63,10.14,45.100
Cabinets(Richmond):OC3090-Richmond,OC3090-Richmond  (customer must cut out to install oven),8.00 ,5.00 ,"1,299.00 ",31.5,6.5,91.54,10.84,45.100
Cabinets(Richmond):OC3096-Richmond,OC3096-Richmond  (customer must cut out to install oven),7.00 ,10.00 ,"1,399.00 ",31.5,6.5,97.45,11.54,45.100
Cabinets(Richmond):PEPR335-Richmond,PEPR335-Richmond,211.00 ,0.00 ,139.00 ,26.19,2.17,36.03,1.19,8.712
Cabinets(Richmond):PREPRP1.596-Richmond,PREPRP1.596-Richmond,114.00 ,50.00 ,259.00 ,26.19,2.17,97.45,3.2,20.900
Cabinets(Richmond):REED96-Richmond,REED96-Richmond Split Turning  Trimmable,14.00 ,0.00 ,109.00 ,0.58,0.46,9.75,0.15,0.396
Cabinets(Richmond):ROPE-Richmond,ROPE-Richmond,193.00 ,0.00 ,59.00 ,0.26,0.12,4.88,0.04,0.660
Cabinets(Richmond):SB24-Richmond,SB24-Richmond,35.00 ,50.00 ,249.00 ,25.2,5.71,36.03,3,38.793
Cabinets(Richmond):SB27-Richmond,SB27-Richmond,21.00 ,65.00 ,269.00 ,28.35,5.71,36.03,3.38,41.778
Cabinets(Richmond):SB30-Richmond,SB30-Richmond,131.00 ,145.00 ,289.00 ,31.5,5.71,36.03,3.75,44.698
Cabinets(Richmond):SB33-Richmond,SB33-Richmond,42.00 ,20.00 ,309.00 ,33.08,5.71,36.03,3.94,52.4
Cabinets(Richmond):SB36-Richmond,SB36-Richmond,144.00 ,55.00 ,329.00 ,33.08,5.71,37.6,4.11,50.677
Cabinets(Richmond):SB42-Richmond,SB42-Richmond,40.00 ,5.00 ,359.00 ,33.08,5.71,43.51,4.76,61.6
Cabinets(Richmond):SB48-Richmond,SB48-Richmond,12.00 ,31.00 ,409.00 ,33.08,5.71,49.41,5.4,72.6
Cabinets(Richmond):SC2430-Richmond,SC2430-Richmond,1.00-,40.00 ,209.00 ,25.2,5.32,31.7,2.46,31.9
Cabinets(Richmond):SC2436-Richmond,SC2436-Richmond,10.00 ,15.00 ,249.00 ,25.2,5.32,37.6,2.92,35.644
Cabinets(Richmond):SC2442-Richmond,SC2442-Richmond,21.00 ,25.00 ,299.00 ,25.2,5.32,43.51,3.38,42.082
Cabinets(Richmond):SC3030-Richmond,SC3030-Richmond,0.00 ,35.00 ,229.00 ,31.5,5.32,31.7,3.08,38.207
Cabinets(Richmond):SC3036-Richmond,SC3036-Richmond,4.00 ,15.00 ,279.00 ,31.5,5.32,37.6,3.65,43.792
Cabinets(Richmond):SC3042-Richmond,SC3042-Richmond,27.00 ,15.00 ,309.00 ,31.5,5.32,43.51,4.22,50.791
Cabinets(Richmond):SCB36-Richmond,SCB36-Richmond ***DOOR ON THE,28.00 ,65.00 ,329.00 ,33.08,5.71,37.6,4.11,61.6
Cabinets(Richmond):SCB42-Richmond,SCB42-Richmond ***DOOR ON THE,35.00 ,60.00 ,349.00 ,33.08,5.71,43.51,4.76,67.1
Cabinets(Richmond):SCER33-Richmond,SCER33-Richmond,44.00 ,35.00 ,649.00 ,33.08,10.04,36.03,6.93,86.249
Cabinets(Richmond):SCER36-Richmond,SCER36-Richmond,165.00 ,25.00 ,699.00 ,36.23,10.04,36.42,7.67,94.832
Cabinets(Richmond):SFC36-Richmond,SFC36-Richmond,52.00 ,25.00 ,249.00 ,37.6,2.96,37.8,2.43,29.040
Cabinets(Richmond):SFC42-Richmond,SFC42-Richmond,16.00 ,0.00 ,329.00 ,43.51,2.96,43.71,3.25,40.304
Cabinets(Richmond):SPTRINGEND-Richmond,"SPTRINGEND-Richmond Split Turnings 9 1/2"" Sptringend Trimmable Up To 5""",5.00 ,5.00 ,79.00 ,0.63,0.56,1.11,0.03,0.132
Cabinets(Richmond):TOE KICK-Richmond,TOE KICK-Richmond,"1,025.00 ",48.00 ,39.00 ,0.6,0.3,9.75,0.1,1.430
Cabinets(Richmond):TOUCHUPKIT-Richmond,TOUCHUPKIT-Richmond Touch up kit,42.00 ,0.00 ,58.00 ,2,0.012,5,2,
Cabinets(Richmond):TP3-Richmond,TP3-Richmond,23.00 ,0.00 ,209.00 ,4.14,35.63,4.34,0.37,7.700
Cabinets(Richmond):U1584-Richmond,U1584-Richmond,26.00 ,0.00 ,699.00 ,25.2,5.71,85.63,7.13,78.015
Cabinets(Richmond):U1590-Richmond,U1590-Richmond,12.00 ,5.00 ,779.00 ,25.2,5.71,91.54,7.62,82.603
Cabinets(Richmond):U1596-Richmond,U1596-Richmond,14.00 ,0.00 ,829.00 ,25.2,5.71,97.45,8.12,87.200
Cabinets(Richmond):U1884-Richmond,U1884-Richmond,47.00 ,15.00 ,769.00 ,25.2,5.71,85.63,7.13,101.2
Cabinets(Richmond):U1890-Richmond,U1890-Richmond,51.00 ,0.00 ,799.00 ,25.2,5.71,91.54,7.62,110
Cabinets(Richmond):U1896-Richmond,U1896-Richmond,11.00 ,15.00 ,879.00 ,25.2,5.71,97.45,8.12,112.2
Cabinets(Richmond):U2484-Richmond,U2484-Richmond,0.00 ,10.00 ,899.00 ,25.2,6.5,85.63,8.12,109
Cabinets(Richmond):U2490-Richmond,U2490-Richmond,0.00 ,10.00 ,949.00 ,25.2,6.5,91.54,8.68,110
Cabinets(Richmond):U2496-Richmond,U2496-Richmond,0.00 ,10.00 ,999.00 ,25.2,6.5,97.45,9.23,116
Cabinets(Richmond):V549SC-Richmond,V549SC-Richmond Scalloped Valance,31.00 ,0.00 ,99.00 ,0.91,0.63,5.06,0.17,4.290
