URL,Title,HTTP Status,Total Links,Page Authority,Number of Linking Root Domains,Facebook Shares,Facebook Likes,Twitter Shares,Google +1 Shares
http://www.finedesigns.com/organizations/kc-sports/2013-8mp-a-through-14-a-usssa-world-series.html,2013 8MP A through 14 A USSSA World Series - KC SPORTS - Organizations,200,1518,21,1,,,,
http://www.finedesigns.com/organizations/kc-sports/2013-11-aaa-usssa-world-series.html,2013 11 AAA USSSA World Series - KC SPORTS - Organizations,200,1518,21,1,,,,
http://www.finedesigns.com/organizations/kc-sports/2013-12-aa-usssa-world-series.html,2013 12 AA USSSA World Series - KC SPORTS - Organizations,200,1518,21,1,,,,
http://www.finedesigns.com/about,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/catalog/seo_sitemap/category/,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/catalogsearch/advanced/,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/catalogsearch/term/popular/,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/checkout/cart/,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/contacts,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/contacts/,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/customer-service,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-month.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-month/april.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-month/august.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-month/august/2014-world-firefighters-games.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-month/december.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-month/february.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-month/february/2014-president.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-month/february/presidents-day-cup-and-showcase.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-month/february/presidents-day-tournament.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-month/january.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-month/july.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-month/june.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-month/june/beach-bash-lacrosse-tournament.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-month/june/district-ii-spring-cup.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-month/june/sand-soccer-shootout.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-month/march.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-month/may.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-month/november.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-month/october.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-month/october/jackedup-for-the-cure-are-you.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-month/september.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-region.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-region/midwest.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-region/northeast.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-region/northeast/2014-battle-beyond-the-ring.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-region/northeast/2014-eastern-synchronized-skating-sectional-championships.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-region/northeast/2014-weva-festival.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-region/northeast/6th-annual-manhattan-kick-off-classic-and-college-showcase.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-region/northeast/annandale-premier-cup-1.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-region/northeast/annandale-premier-cup.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-region/northeast/arlington-spring-invitational.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-region/northeast/beach-bash-lacrosse-tournament.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-region/northeast/college-showcase-tournament.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-region/northeast/east-coast-veterans-day-soccer-tournament.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-region/northeast/edl-columbus-day-invitational.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-region/northeast/icebreaker-tournament.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-region/northeast/presidents-day-cup-and-showcase.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-region/northeast/pwsi-holiday-8v8-shootout.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-region/northeast/sand-soccer-shootout.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-region/northeast/ultimate-cup-14.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-region/northeast/uscaa-basketball-national-championships.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-region/southeast.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-region/southwest.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-region/southwest/2014-dallas-lacrosse-springfest.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-region/southwest/jackedup-for-the-cure-are-you.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-region/southwest/jackedup-for-the-cure.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-state.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-state/arizona-az.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-state/arizona-az/2014-presidents-day-invitational.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-state/arizona-az/desert-classic.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-state/arizona-az/presidents-day-tournament.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-state/california-ca.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-state/california-ca/2014-sand-storm-lacrosse-tournament.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-state/california-ca/2014-world-firefighters-games.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-state/california-ca/district-ii-fall-cup.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-state/california-ca/district-ii-spring-cup.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-state/colorado-co.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-state/colorado-co/2014-presidents-day-tournament.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-state/colorado-co/2014-u-s-synchronized-skating-championships.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-state/colorado-co/2014-western-national-roundup.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-state/delaware-de.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-state/florida-fl.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-state/georgia-ga.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-state/illinois-il.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-state/illinois-il/2014-midwest-and-pacific-coast-synchronized-skating-sectional-championship.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-state/iowa-ia.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-state/iowa-ia/des-moines-menace-online-store.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-state/kansas-ks.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-state/maryland-md.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-state/minnesota-mn.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-state/missouri-mo.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-state/nevada-nv.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-state/new-jersey-nj.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-state/new-jersey-nj/2014-battle-beyond-the-ring.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-state/new-york-ny.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-state/new-york-ny/2014-weva-festival.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-state/new-york-ny/6th-annual-manhattan-kick-off-classic-and-college-showcase.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-state/north-carolina-nc.html,"",No Data,1517,20,1,,,,
